sweep,m,n,rep,vectorized,embedding
rep,384,20,500,0.11244430399999317,0.03218800199999805
rep,384,20,1000,0.20938385100001256,0.04430852299999799
rep,384,20,2000,0.42740082599999596,0.08201279899999747
rep,384,20,3000,0.6796608859999935,0.11557480800000519
rep,384,20,4000,0.9142238780000014,0.15535019600000055
rep,384,20,5000,1.16162764500001,0.1888224120000075
n,384,5,2000,0.16253692499999772,0.0736174310000024
n,384,10,2000,0.22414316200000428,0.07782718299999658
n,384,20,2000,0.450625291999998,0.07867265200000872
n,384,40,2000,1.0272470680000083,0.08538060399999381
n,384,60,2000,1.9782461820000066,0.0921996729999961
n,384,80,2000,3.3068852189999944,0.10078593500000466
n,384,120,2000,6.21149909399999,0.11354336100001206
n,384,160,2000,10.90701347999999,0.13898071200000572
m,50,20,2000,0.44515350399998965,0.03788699000000406
m,99,20,2000,0.4024637369999766,0.04297308799999655
m,197,20,2000,0.4381538169999999,0.05215640099999064
m,384,20,2000,0.43792076699998006,0.08278818299999102
m,760,20,2000,0.4746545569999796,0.16578738499998735
m,1318,20,2000,0.5121052610000163,0.37090259600000763
m,2016,20,2000,0.5525141709999843,0.744121468000003
m,2854,20,2000,0.6429796409999824,1.4463328840000145
m,3728,20,2000,0.7771661879999954,2.308684040000003
m,4592,20,2000,0.9248243549999984,3.6508230839999953
